season,city,team1,team2,toss_winner,toss_decision,dl_applied,win_by_runs,win_by_wickets,venue
2017,0,0,4,4,0,0,35,0,0
2017,1,1,3,3,0,0,0,7,1
2017,2,2,5,5,0,0,0,10,2
2017,3,3,7,7,0,0,0,6,3
2017,4,4,6,4,1,0,15,0,4
2017,0,2,0,0,0,0,0,9,0
2017,5,5,1,1,0,0,0,4,5
2017,3,4,7,4,1,0,0,8,3
2017,1,6,3,3,0,0,97,0,1
2017,5,0,1,1,0,0,0,4,5
2017,6,7,5,5,0,0,0,8,6
2017,4,4,1,1,0,0,0,4,4
2017,2,3,2,2,0,0,0,7,2
2017,6,5,0,0,0,0,17,0,6
2017,7,6,7,6,1,0,51,0,7
2017,5,2,1,1,0,0,0,6,5
2017,4,3,4,4,0,0,27,0,4
2017,7,6,5,6,1,0,0,4,7
2017,0,0,7,7,0,0,5,0,0
2017,2,4,2,2,0,0,21,0,2
2017,0,0,6,0,1,0,15,0,0
2017,3,7,1,1,0,0,0,8,3
2017,6,5,2,2,0,0,0,4,6
2017,5,1,6,6,0,0,14,0,5
2017,1,0,3,3,0,0,0,6,1
2017,2,7,2,2,0,0,26,0,2
2017,6,5,4,4,0,0,82,0,6
2017,5,3,1,1,0,0,3,0,5
2017,1,3,5,5,0,0,0,7,1
2017,4,4,2,2,0,0,0,7,4
2017,6,6,5,5,0,0,0,7,6
2017,8,0,7,7,0,0,26,0,8
2017,1,3,4,4,0,0,61,0,1
2017,2,2,1,2,1,0,0,0,2
2017,8,6,7,7,0,0,0,10,8
2017,0,0,5,5,0,0,48,0,0
2017,5,4,1,4,1,0,0,5,5
2017,1,2,3,3,0,0,0,5,1
2017,7,0,6,6,0,0,0,6,7
2017,6,5,3,3,0,0,0,4,6
2017,7,2,6,6,0,0,0,7,7
2017,4,7,4,4,0,0,19,0,4
2017,0,3,0,0,0,0,12,0,0
2017,7,1,6,6,0,0,146,0,7
2017,4,4,5,5,0,0,0,6,4
2017,8,7,2,2,0,0,0,6,8
2017,0,1,0,1,1,0,0,7,0
2017,8,7,5,5,0,0,14,0,8
2017,9,2,6,6,0,0,0,2,9
2017,5,7,1,1,0,0,7,0,5
2017,7,6,3,6,1,0,7,0,7
2017,9,2,0,0,0,0,0,8,9
2017,6,1,5,5,0,0,9,0,6
2017,1,7,3,3,0,0,0,9,1
2017,7,4,6,4,1,0,10,0,7
2017,5,3,1,1,0,0,20,0,5
2017,4,0,5,5,0,1,0,7,4
2017,4,5,1,1,0,0,0,6,4
2017,0,1,3,1,1,0,1,0,0
2008,4,5,4,4,0,0,140,0,4
2008,8,8,7,8,1,0,33,0,10
2008,7,9,6,9,1,0,0,9,7
2008,5,1,4,1,1,0,0,5,5
2008,6,10,5,10,1,0,0,5,6
2008,10,7,9,7,1,0,0,6,11
2008,0,10,6,10,1,0,0,9,0
2008,11,8,1,1,0,0,6,0,12
2008,0,10,9,9,0,0,0,3,0
2008,8,7,1,1,0,0,66,0,10
2008,4,4,9,9,0,0,0,7,4
2008,11,5,8,5,1,0,0,9,12
2008,5,1,10,10,0,0,0,10,13
2008,8,6,7,6,1,0,0,4,10
2008,4,8,4,8,1,0,13,0,4
2008,6,5,1,5,1,0,0,7,6
2008,7,6,4,4,0,0,10,0,7
2008,0,10,7,7,0,0,0,7,0
2008,10,9,5,9,1,0,45,0,11
2008,11,8,6,8,1,0,0,8,12
2008,0,10,4,10,1,0,0,5,0
2008,8,7,5,7,1,0,9,0,10
2008,5,1,6,6,0,0,29,0,13
2008,10,8,9,8,1,0,0,8,11
2008,4,4,7,7,0,0,0,6,4
2008,11,8,10,10,0,0,0,7,12
2008,5,9,1,1,0,0,0,7,13
2008,7,6,8,8,0,0,0,4,7
2008,6,5,4,5,1,0,5,0,6
2008,10,10,9,9,0,0,0,8,11
2008,4,4,1,1,0,0,0,9,4
2008,11,8,7,7,0,0,18,0,12
2008,0,5,10,5,1,0,23,0,0
2008,10,6,9,9,0,0,0,3,11
2008,8,4,7,4,1,0,0,9,10
2008,6,5,6,5,1,0,23,0,6
2008,5,8,1,1,0,0,0,9,5
2008,8,7,9,9,0,0,41,0,10
2008,7,6,10,10,0,0,12,0,7
2008,5,5,1,1,0,0,0,8,5
2008,7,6,7,6,1,1,6,0,7
2008,10,9,4,4,0,0,65,0,11
2008,0,1,10,10,0,0,25,0,0
2008,6,5,8,5,1,1,3,0,6
2008,4,4,6,6,0,0,0,5,4
2008,6,5,9,9,0,0,0,6,6
2008,5,7,1,1,0,0,1,0,5
2008,11,4,8,4,1,0,14,0,12
2008,8,10,7,7,0,0,0,6,10
2008,7,1,6,6,0,0,0,5,7
2008,11,9,8,9,1,0,10,0,12
2008,4,4,10,10,0,0,3,0,4
2008,6,7,5,7,1,0,0,3,6
2008,10,1,9,9,0,0,0,5,11
2008,0,10,8,10,1,0,0,7,0
2008,5,9,6,6,0,0,105,0,5
2008,5,7,8,7,1,0,0,9,5
2008,5,8,9,9,0,0,0,3,13
2009,12,1,8,8,0,0,19,0,14
2009,12,4,9,4,1,0,75,0,14
2009,12,7,6,6,0,1,0,10,14
2009,12,5,10,5,1,0,0,8,14
2009,13,8,4,8,1,0,92,0,15
2009,14,7,5,5,0,1,11,0,16
2009,12,10,4,10,1,0,24,0,14
2009,14,6,8,6,1,0,9,0,16
2009,12,9,5,5,0,0,0,0,14
2009,14,4,7,4,1,0,0,7,16
2009,14,10,1,10,1,0,12,0,16
2009,13,4,6,4,1,0,0,6,15
2009,12,7,9,7,1,0,27,0,14
2009,14,8,10,10,0,0,0,6,16
2009,13,1,5,1,1,0,92,0,15
2009,15,6,9,6,1,0,0,5,17
2009,14,5,4,5,1,0,0,5,16
2009,14,7,1,7,1,0,3,0,16
2009,15,10,6,6,0,0,0,6,17
2009,15,8,9,9,0,0,38,0,17
2009,16,1,5,1,1,0,9,0,18
2009,14,4,7,4,1,0,8,0,16
2009,13,10,9,10,1,0,0,3,15
2009,17,8,6,6,0,0,18,0,19
2009,13,5,7,5,1,0,0,6,15
2009,17,1,4,1,1,0,0,9,19
2009,16,8,10,8,1,0,78,0,18
2009,14,9,7,7,0,0,78,0,16
2009,14,5,6,5,1,0,0,9,16
2009,15,10,1,10,1,0,19,0,17
2009,15,4,9,9,0,0,0,7,17
2009,15,8,7,8,1,1,12,0,17
2009,16,1,6,1,1,0,0,7,18
2009,18,10,7,7,0,0,0,3,20
2009,18,9,8,9,1,0,0,7,20
2009,13,1,4,1,1,0,16,0,15
2009,17,5,6,6,0,0,0,7,19
2009,18,10,9,10,1,0,53,0,20
2009,15,5,4,4,0,0,0,6,17
2009,15,7,1,7,1,0,0,8,17
2009,14,6,10,10,0,0,12,0,16
2009,14,8,4,8,1,0,0,2,16
2009,14,9,1,9,1,0,2,0,16
2009,19,6,7,7,0,0,0,6,21
2009,13,1,8,1,1,0,0,7,15
2009,17,5,10,10,0,0,0,6,19
2009,17,7,10,10,0,0,1,0,19
2009,19,6,9,6,1,0,14,0,21
2009,15,8,5,8,1,0,0,7,17
2009,17,6,4,6,1,0,0,7,19
2009,14,9,5,5,0,0,0,4,16
2009,14,8,7,8,1,0,24,0,16
2009,15,1,6,6,0,0,0,4,17
2009,15,4,10,4,1,0,12,0,17
2009,15,6,10,10,0,0,0,6,17
2009,17,8,4,4,0,0,0,6,19
2009,17,10,4,4,0,0,6,0,19
2010,5,5,10,10,0,0,11,0,13
2010,5,1,9,1,1,0,4,0,22
2010,8,7,6,6,0,0,0,5,10
2010,6,4,5,5,0,0,0,7,6
2010,11,10,8,10,1,0,31,0,12
2010,20,9,6,6,0,0,0,6,23
2010,4,7,4,7,1,0,0,8,4
2010,6,8,5,8,1,0,55,0,6
2010,7,1,6,6,0,0,98,0,7
2010,4,9,4,4,0,0,0,10,4
2010,7,6,8,6,1,0,0,5,7
2010,21,10,7,7,0,0,6,0,24
2010,20,9,5,9,1,0,34,0,23
2010,5,1,4,1,1,0,0,7,22
2010,21,10,6,10,1,0,10,0,24
2010,11,7,8,8,0,0,0,0,12
2010,5,5,1,5,1,0,0,7,22
2010,4,4,8,8,0,0,36,0,4
2010,8,9,7,7,0,0,31,0,10
2010,5,8,1,1,0,0,0,5,22
2010,20,10,9,10,1,0,0,8,23
2010,8,5,7,5,1,0,39,0,10
2010,4,6,4,4,0,0,17,0,4
2010,20,9,8,9,1,0,17,0,23
2010,5,1,10,10,0,0,41,0,13
2010,7,6,5,6,1,0,40,0,7
2010,5,7,1,1,0,0,0,4,22
2010,11,4,8,4,1,0,0,5,12
2010,7,6,9,6,1,0,67,0,7
2010,6,5,10,5,1,0,24,0,6
2010,8,7,4,7,1,0,0,6,10
2010,11,8,9,8,1,0,23,0,12
2010,5,1,10,1,1,0,63,0,22
2010,6,5,7,5,1,0,0,8,6
2010,7,6,4,6,1,0,37,0,7
2010,22,9,10,9,1,0,2,0,25
2010,11,8,1,8,1,0,24,0,12
2010,10,7,9,7,1,0,0,9,11
2010,6,5,6,5,1,0,14,0,6
2010,4,4,10,10,0,0,0,7,4
2010,8,1,7,1,1,0,0,6,10
2010,22,8,10,8,1,0,0,6,25
2010,4,5,4,4,0,0,0,7,4
2010,7,6,7,6,1,0,0,7,7
2010,10,1,9,9,0,0,37,0,11
2010,22,10,4,4,0,0,13,0,25
2010,5,1,6,1,1,0,39,0,22
2010,11,5,8,5,1,0,0,9,12
2010,10,9,4,9,1,0,0,5,11
2010,11,8,6,8,1,0,0,6,12
2010,23,7,10,10,0,0,0,5,26
2010,4,1,4,4,0,0,57,0,4
2010,6,9,5,9,1,0,0,8,6
2010,23,7,8,8,0,0,0,6,26
2010,7,10,6,10,1,0,11,0,7
2010,6,1,5,1,1,0,0,9,6
2010,5,1,4,1,1,0,35,0,13
2010,5,8,10,8,1,0,38,0,13
2010,5,10,4,10,1,0,0,9,13
2010,5,8,1,8,1,0,22,0,13
2011,11,8,5,8,1,0,2,0,12
2011,0,10,9,9,0,0,0,8,0
2011,24,11,4,11,1,0,0,6,27
2011,7,6,1,6,1,0,0,8,7
2011,5,7,12,7,1,0,0,7,13
2011,6,5,10,5,1,0,9,0,6
2011,10,6,9,6,1,0,0,6,11
2011,4,4,1,1,0,0,0,9,4
2011,8,8,7,7,0,0,0,6,10
2011,5,11,12,11,1,0,0,4,13
2011,0,10,4,4,0,0,33,0,0
2011,10,9,5,5,0,0,0,9,11
2011,5,1,11,11,0,0,0,8,5
2011,11,8,4,8,1,0,21,0,12
2011,0,10,7,7,0,0,0,8,0
2011,5,12,6,6,0,0,0,3,13
2011,6,9,5,5,0,0,0,8,6
2011,24,8,11,11,0,1,0,7,27
2011,7,10,6,10,1,0,16,0,7
2011,5,12,1,12,1,0,0,7,5
2011,6,11,5,5,0,0,6,0,6
2011,8,7,9,9,0,0,48,0,10
2011,5,1,8,8,0,0,8,0,5
2011,6,5,4,4,0,0,0,9,6
2011,7,6,7,7,0,0,29,0,7
2011,0,1,10,10,0,0,37,0,0
2011,10,11,9,9,0,0,0,8,11
2011,11,8,12,12,0,0,25,0,12
2011,7,6,4,4,0,0,0,3,7
2011,5,12,8,12,1,0,0,8,13
2011,24,10,11,11,0,0,55,0,27
2011,7,5,6,6,0,0,17,0,7
2011,10,1,9,9,0,0,0,7,11
2011,4,4,12,12,0,0,26,0,4
2011,24,6,11,6,1,0,38,0,27
2011,6,7,5,5,0,0,0,8,6
2011,10,12,9,9,0,0,0,6,11
2011,11,8,10,8,1,0,19,0,12
2011,5,1,7,7,0,0,23,0,5
2011,7,6,11,11,0,0,0,7,7
2011,0,5,10,10,0,0,20,0,0
2011,11,9,8,9,1,0,0,8,12
2011,5,1,12,12,0,0,21,0,13
2011,24,11,5,5,0,0,17,0,27
2011,0,10,6,6,0,0,0,4,0
2011,4,4,7,7,0,0,85,0,4
2011,6,8,5,8,1,1,10,0,6
2011,5,1,6,6,0,0,32,0,5
2011,4,11,4,11,1,0,0,9,4
2011,8,7,12,7,1,0,0,5,10
2011,10,8,9,9,0,0,63,0,11
2011,0,10,12,10,1,0,0,6,0
2011,8,7,1,1,0,0,76,0,10
2011,10,9,4,4,0,0,0,9,11
2011,11,8,6,8,1,0,18,0,12
2011,3,11,7,7,0,0,0,6,3
2011,4,5,4,4,0,1,0,4,4
2011,5,10,1,10,1,0,10,0,5
2011,23,7,6,6,0,0,29,0,26
2011,3,9,11,11,0,0,0,8,3
2011,5,12,10,10,0,0,0,6,13
2011,23,7,4,7,1,0,111,0,26
2011,11,8,11,8,1,0,11,0,12
2011,5,12,5,5,0,0,0,7,13
2011,5,1,9,1,1,0,0,10,5
2011,4,8,4,4,0,0,0,8,4
2011,6,5,1,1,0,0,0,5,6
2011,5,4,8,8,0,0,0,6,5
2011,5,5,1,1,0,0,0,4,5
2011,11,4,1,1,0,0,43,0,12
2011,11,8,4,8,1,0,58,0,12
2012,11,8,1,1,0,0,0,8,12
2012,6,5,6,6,0,0,0,8,6
2012,5,12,1,1,0,0,28,0,5
2012,10,9,7,7,0,0,31,0,11
2012,4,4,6,6,0,0,20,0,4
2012,25,8,10,10,0,0,74,0,28
2012,10,9,5,5,0,0,22,0,11
